time,price,bid,ask,volume
2018-01-29 13:00:03.662000,4.95,4.94,4.95,6874300.0
2018-01-29 13:00:06.511000,4.95,4.94,4.95,6874300.0
2018-01-29 13:00:09.412000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:12.026000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:14.600000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:17.652000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:20.116000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:22.956000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:25.610000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:28.296000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:30.943000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:33.607000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:36.048000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:38.774000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:41.355000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:43.858000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:46.668000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:49.311000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:51.885000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:54.350000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:56.934000,4.95,4.94,4.95,6974300.0
2018-01-29 13:00:59.468000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:02.210000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:04.885000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:07.522000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:09.963000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:12.653000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:15.451000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:18.201000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:20.936000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:23.430000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:25.921000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:28.352000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:30.842000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:33.736000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:36.514000,4.95,4.94,4.95,6974300.0
2018-01-29 13:01:39.084000,4.95,4.94,4.96,6974400.0
2018-01-29 13:01:41.654000,4.95,4.94,4.96,6974400.0
2018-01-29 13:01:44.462000,4.95,4.94,4.96,6974400.0
2018-01-29 13:01:47.215000,4.95,4.94,4.96,6974400.0
2018-01-29 13:01:50.039000,4.95,4.94,4.96,6974400.0
2018-01-29 13:01:52.652000,4.95,4.94,4.96,6974400.0
2018-01-29 13:01:55.352000,4.95,4.94,4.96,6974400.0
2018-01-29 13:01:58.106000,4.95,4.94,4.96,6974400.0
2018-01-29 13:02:00.807000,4.95,4.94,4.96,6974400.0
2018-01-29 13:02:03.354000,4.95,4.94,4.96,6974400.0
2018-01-29 13:02:05.998000,4.95,4.94,4.96,6974400.0
