time,price,bid,ask,volume
2018-01-25 10:11:10.515000,33.0,33.0,33.05,5190575.0
2018-01-25 10:11:13.144000,33.0,33.0,33.05,5190575.0
2018-01-25 10:11:15.703000,33.0,33.0,33.05,5190575.0
2018-01-25 10:11:18.309000,33.0,33.0,33.05,5190575.0
2018-01-25 10:11:20.795000,33.0,33.0,33.05,5190575.0
2018-01-25 10:11:23.131000,33.0,33.0,33.05,5190575.0
2018-01-25 10:11:25.627000,33.0,33.0,33.05,5190575.0
2018-01-25 10:11:28.260000,33.0,33.0,33.05,5190575.0
2018-01-25 10:11:30.697000,33.0,33.0,33.05,5190575.0
2018-01-25 10:11:33.528000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:36.472000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:39.155000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:41.705000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:44.371000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:46.891000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:49.535000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:51.926000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:54.555000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:57.308000,33.0,33.0,33.05,5238075.0
2018-01-25 10:11:59.912000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:02.427000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:05.313000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:07.927000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:10.475000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:13.365000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:15.938000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:18.763000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:21.149000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:23.639000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:26.225000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:28.751000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:30.955000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:33.307000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:35.478000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:38.037000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:40.483000,33.0,33.0,33.05,5238075.0
2018-01-25 10:12:42.892000,33.0,32.95,33.0,5618575.0
2018-01-25 10:12:45.805000,33.0,32.95,33.0,5618575.0
2018-01-25 10:12:48.585000,33.0,32.95,33.0,5618575.0
2018-01-25 10:12:50.975000,33.0,32.95,33.0,5618575.0
2018-01-25 10:12:53.796000,33.0,32.95,33.0,5618575.0
2018-01-25 10:12:56.520000,33.0,32.95,33.0,5618575.0
2018-01-25 10:12:59.160000,33.0,32.95,33.0,5618575.0
2018-01-25 10:13:01.632000,33.0,32.95,33.0,5618575.0
2018-01-25 10:13:04.498000,33.0,32.95,33.0,5618575.0
2018-01-25 10:13:07.111000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:09.659000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:12.396000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:14.987000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:17.497000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:19.989000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:22.555000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:25.001000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:27.661000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:30.386000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:33.118000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:35.784000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:38.669000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:41.573000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:44.368000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:46.821000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:49.521000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:52.167000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:54.512000,33.0,32.95,33.0,5729575.0
2018-01-25 10:13:57.140000,33.0,32.95,33.0,5729575.0
2018-01-25 10:14:00.178000,33.0,32.95,33.0,5729575.0
2018-01-25 10:14:02.775000,33.0,32.95,33.0,5787575.0
2018-01-25 10:14:05.672000,33.0,32.95,33.0,5787575.0
2018-01-25 10:14:08.395000,33.0,32.95,33.0,5787575.0
2018-01-25 10:14:11.289000,33.0,32.95,33.0,5787575.0
2018-01-25 10:14:13.876000,33.0,32.95,33.0,5787575.0
2018-01-25 10:14:16.808000,33.0,32.95,33.0,5787575.0
2018-01-25 10:14:19.958000,33.0,32.95,33.0,5787575.0
2018-01-25 10:14:22.718000,33.0,32.95,33.0,5787575.0
2018-01-25 10:14:25.308000,33.0,32.95,33.0,5787575.0
