time,price,bid,ask,volume
2018-01-25 13:19:32.560000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:35.245000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:37.828000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:40.418000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:42.909000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:45.296000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:47.694000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:50.123000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:52.740000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:55.437000,5.0,4.99,5.0,2802300.0
2018-01-25 13:19:58.003000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:00.550000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:03.050000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:05.487000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:08.475000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:11.169000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:13.800000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:16.577000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:19.378000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:22.018000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:24.888000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:27.603000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:30.571000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:33.137000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:35.842000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:38.506000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:41.517000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:44.200000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:47.128000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:49.972000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:52.861000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:55.561000,5.0,4.99,5.0,2802300.0
2018-01-25 13:20:58.603000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:01.400000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:04.067000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:07.130000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:09.774000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:12.681000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:15.471000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:18.193000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:21.062000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:23.625000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:26.600000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:29.635000,5.0,4.99,5.0,2802300.0
2018-01-25 13:21:32.427000,5.0,4.99,5.0,2802300.0
