time,price,bid,ask,volume
2018-01-26 13:01:22.652000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:25.339000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:28.134000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:30.889000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:33.641000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:36.381000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:39.111000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:41.488000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:44.169000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:46.869000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:49.303000,4.96,4.95,4.97,4701000.0
2018-01-26 13:01:52.212000,4.96,4.96,4.97,5601000.0
2018-01-26 13:01:54.914000,4.96,4.96,4.97,5601000.0
2018-01-26 13:01:57.524000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:00.192000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:02.885000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:05.468000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:08.198000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:10.844000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:13.332000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:16.423000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:19.151000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:21.999000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:24.667000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:27.319000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:30.067000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:33.119000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:36.316000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:39.013000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:41.762000,4.96,4.96,4.97,5601000.0
2018-01-26 13:02:44.497000,4.96,4.96,4.97,5601000.0
