time,price,bid,ask,volume
2018-01-26 13:01:21.151000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:23.946000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:26.628000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:29.545000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:32.205000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:35.072000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:37.836000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:40.408000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:42.934000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:45.546000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:48.135000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:50.806000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:53.602000,33.3,33.3,33.35,25532698.0
2018-01-26 13:01:56.214000,33.3,33.25,33.3,25735758.0
2018-01-26 13:01:58.886000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:01.652000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:04.075000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:06.883000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:09.481000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:12.117000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:14.857000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:17.744000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:20.552000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:23.303000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:25.995000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:28.650000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:31.664000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:35.061000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:37.729000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:40.513000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:43.198000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:45.919000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:48.682000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:51.432000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:54.115000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:56.924000,33.3,33.25,33.3,25735758.0
2018-01-26 13:02:59.683000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:02.281000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:04.855000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:07.792000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:13.495000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:16.280000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:19.437000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:22.428000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:25.155000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:28.324000,33.3,33.25,33.3,25737127.0
2018-01-26 13:03:31.034000,33.3,33.25,33.3,25737127.0
