time,price,bid,ask,volume
2018-01-09 09:29:04.442000,5.32,5.32,5.33,200.0
2018-01-09 09:29:07.680000,5.32,5.32,5.33,200.0
2018-01-09 09:29:11.321000,5.32,5.32,5.33,200.0
2018-01-09 09:29:15.120000,5.32,5.32,5.33,200.0
2018-01-09 09:29:18.659000,5.32,5.32,5.33,200.0
2018-01-09 09:29:22.681000,5.32,5.32,5.33,200.0
2018-01-09 09:29:26.428000,5.32,5.32,5.33,200.0
2018-01-09 09:29:29.682000,5.32,5.32,5.33,200.0
2018-01-09 09:29:33.180000,5.32,5.32,5.33,200.0
2018-01-09 09:29:37.061000,5.32,5.32,5.33,200.0
2018-01-09 09:29:40.416000,5.32,5.32,5.33,200.0
2018-01-09 09:29:44.351000,5.32,5.32,5.33,200.0
2018-01-09 09:29:47.941000,5.32,5.32,5.33,200.0
2018-01-09 09:29:51.915000,5.32,5.32,5.33,200.0
2018-01-09 09:29:55.678000,5.32,5.32,5.33,200.0
2018-01-09 09:29:58.870000,5.32,5.32,5.33,200.0
2018-01-09 09:30:02.572000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:05.673000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:08.738000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:12.227000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:15.601000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:18.820000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:21.685000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:25.606000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:29.729000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:33.339000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:37.056000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:41.011000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:43.598000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:46.808000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:50.680000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:54.516000,5.32,5.32,5.33,10000.0
2018-01-09 09:30:57.745000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:01.505000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:05.303000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:09.166000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:13.230000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:16.260000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:19.244000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:22.009000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:25.138000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:28.966000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:32.668000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:36.450000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:40.267000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:43.744000,5.32,5.32,5.33,10000.0
2018-01-09 09:31:47.668000,5.3,5.3,5.31,110500.0
2018-01-09 09:31:51.947000,5.3,5.3,5.31,110500.0
2018-01-09 09:31:55.688000,5.3,5.3,5.31,110500.0
2018-01-09 09:31:59.310000,5.3,5.3,5.31,111600.0
2018-01-09 09:32:03.387000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:06.667000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:13.733000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:17.011000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:20.149000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:24.295000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:27.918000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:31.337000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:34.617000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:38.044000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:41.357000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:45.323000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:48.670000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:51.865000,5.3,5.3,5.31,116600.0
2018-01-09 09:32:55.854000,5.3,5.3,5.31,116600.0
2018-01-09 09:33:00.123000,5.3,5.3,5.31,116600.0
2018-01-09 09:33:03.325000,5.3,5.3,5.31,116600.0
2018-01-09 09:33:06.951000,5.3,5.3,5.31,116600.0
2018-01-09 09:33:12.200000,5.3,5.3,5.31,116600.0
2018-01-09 09:33:15.897000,5.3,5.3,5.31,116600.0
2018-01-09 09:33:19.170000,5.3,5.3,5.31,116600.0
2018-01-09 09:33:22.983000,5.3,5.3,5.31,116600.0
2018-01-09 09:33:27.106000,5.3,5.3,5.31,116600.0
