time,price,bid,ask,volume
2018-01-10 13:03:43.926000,5.26,5.25,5.26,2314600.0
2018-01-10 13:03:48.532000,5.26,5.25,5.26,2314600.0
2018-01-10 13:03:51.801000,5.26,5.25,5.26,2314600.0
2018-01-10 13:03:55.599000,5.26,5.25,5.26,2314600.0
2018-01-10 13:03:58.986000,5.26,5.25,5.26,2314600.0
2018-01-10 13:04:03.034000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:12.440000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:17.063000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:20.976000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:24.793000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:28.003000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:31.801000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:35.083000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:39.223000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:43.191000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:46.554000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:49.957000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:53.008000,5.25,5.25,5.26,2319600.0
2018-01-10 13:04:56.924000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:00.642000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:03.694000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:07.380000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:11.489000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:15.052000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:18.737000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:22.518000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:26.169000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:30.179000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:33.664000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:37.771000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:41.535000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:45.479000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:49.238000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:53.289000,5.25,5.25,5.26,2319600.0
2018-01-10 13:05:56.308000,5.25,5.25,5.26,2319600.0
2018-01-10 13:06:00.414000,5.25,5.25,5.26,2319600.0
2018-01-10 13:06:03.763000,5.25,5.25,5.26,2319600.0
2018-01-10 13:06:09.982000,5.25,5.25,5.26,2319600.0
2018-01-10 13:06:13.963000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:18.093000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:22.142000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:25.950000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:30.166000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:34.420000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:38.374000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:42.865000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:47.442000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:51.637000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:55.359000,5.25,5.25,5.26,2344600.0
2018-01-10 13:06:59.446000,5.25,5.25,5.26,2344600.0
2018-01-10 13:07:02.864000,5.25,5.25,5.26,2344600.0
2018-01-10 13:07:06.980000,5.25,5.25,5.26,2344600.0
2018-01-10 13:07:13.679000,5.25,5.25,5.26,2344600.0
2018-01-10 13:07:17.554000,5.25,5.25,5.26,2344600.0
2018-01-10 13:07:20.895000,5.25,5.25,5.26,2344600.0
2018-01-10 13:07:24.181000,5.26,5.25,5.27,2348600.0
2018-01-10 13:07:28.275000,5.26,5.25,5.27,2348600.0
2018-01-10 13:07:32.231000,5.26,5.25,5.27,2348600.0
2018-01-10 13:07:36.262000,5.26,5.25,5.27,2348600.0
2018-01-10 13:07:40.198000,5.26,5.25,5.26,2348600.0
2018-01-10 13:07:43.712000,5.26,5.25,5.26,2348600.0
2018-01-10 13:07:47.380000,5.26,5.25,5.26,2348600.0
2018-01-10 13:07:51.072000,5.26,5.25,5.26,2348600.0
2018-01-10 13:07:54.761000,5.26,5.25,5.26,2348600.0
2018-01-10 13:07:57.883000,5.26,5.25,5.26,2348600.0
2018-01-10 13:08:01.952000,5.26,5.25,5.26,2348600.0
2018-01-10 13:08:05.463000,5.26,5.25,5.26,2348600.0
2018-01-10 13:08:11.591000,5.26,5.25,5.26,2348600.0
2018-01-10 13:08:15.525000,5.26,5.25,5.26,2348600.0
2018-01-10 13:08:19.544000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:23.315000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:27.078000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:31.139000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:34.712000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:38.495000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:41.874000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:45.305000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:48.900000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:52.745000,5.26,5.25,5.27,2348600.0
2018-01-10 13:08:56.524000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:00.458000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:07.742000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:11.664000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:19.702000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:23.843000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:27.284000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:30.823000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:34.947000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:39.675000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:43.295000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:47.124000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:51.702000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:55.630000,5.26,5.25,5.27,2348600.0
2018-01-10 13:09:59.744000,5.26,5.25,5.27,2348600.0
2018-01-10 13:10:03.528000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:11.227000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:16.094000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:19.779000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:23.293000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:27.539000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:31.141000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:35.246000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:39.265000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:42.746000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:46.405000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:50.571000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:54.721000,5.26,5.26,5.27,2361300.0
2018-01-10 13:10:58.747000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:02.345000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:07.029000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:10.891000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:14.672000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:20.345000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:24.247000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:28.090000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:31.355000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:34.653000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:38.702000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:42.675000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:46.502000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:50.188000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:54.187000,5.26,5.26,5.27,2361300.0
2018-01-10 13:11:57.868000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:01.565000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:04.567000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:08.326000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:12.160000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:15.899000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:19.644000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:23.452000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:26.640000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:30.041000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:33.860000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:37.517000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:41.470000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:45.336000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:48.516000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:52.331000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:56.095000,5.26,5.26,5.27,2361300.0
2018-01-10 13:12:59.996000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:04.047000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:07.488000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:11.441000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:15.204000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:19.386000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:22.702000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:26.301000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:30.019000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:33.734000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:36.675000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:40.382000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:44.315000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:48.814000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:52.478000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:56.180000,5.26,5.26,5.27,2361300.0
2018-01-10 13:13:59.380000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:03.168000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:06.942000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:11.256000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:15.271000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:19.596000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:23.167000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:27.067000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:31.007000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:34.145000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:37.930000,5.26,5.26,5.27,2361300.0
2018-01-10 13:14:41.472000,5.26,5.26,5.27,2361300.0
